epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,617.953,1.12545,0.03449,0.03713,0.72345,0.94087,0.85063,0.78771,0.84211,0.54661,0.86301,0.82961,0.89538,0.89222,1.17116,0.02607,0.00293,0.84713,0.94799,0.0014159,0.0014159,0.0014159
61,628.188,1.13338,0.03272,0.043,0.71999,0.94805,0.82478,0.76917,0.81888,0.52177,0.85623,0.7985,0.87277,0.86979,1.19297,0.02855,0.00725,0.88487,0.96805,0.001406,0.001406,0.001406
62,638.511,1.08177,0.03278,0.03712,0.70957,0.93348,0.85095,0.79609,0.85373,0.55437,0.87795,0.82542,0.89981,0.89615,1.14626,0.02693,0.00477,0.76733,0.95543,0.0013961,0.0013961,0.0013961
63,648.85,1.10841,0.03297,0.03506,0.71452,0.9332,0.85497,0.77095,0.84033,0.54413,0.88749,0.80028,0.89253,0.89033,1.16248,0.0264,0.00481,0.83189,0.96116,0.0013862,0.0013862,0.0013862
64,659.084,1.11727,0.03434,0.0378,0.71756,0.9415,0.85598,0.7803,0.85086,0.55446,0.89143,0.80274,0.89661,0.89356,1.16624,0.02642,0.00413,0.79257,0.95061,0.0013763,0.0013763,0.0013763
65,669.385,1.10398,0.03488,0.03746,0.71095,0.93728,0.86285,0.74721,0.83828,0.5494,0.88912,0.77374,0.88562,0.88215,1.15966,0.02562,0.0044,0.82976,0.95728,0.0013664,0.0013664,0.0013664
66,679.638,1.10176,0.03469,0.04084,0.71589,0.93795,0.87,0.76644,0.83979,0.54311,0.88127,0.78771,0.89359,0.88995,1.19278,0.02582,0.00204,0.83714,0.95922,0.0013565,0.0013565,0.0013565
67,689.93,1.10227,0.0325,0.03918,0.69919,0.93366,0.86245,0.75279,0.83968,0.55097,0.88987,0.77866,0.88876,0.8864,1.20496,0.02596,0.0045,0.81287,0.9582,0.0013466,0.0013466,0.0013466
68,700.219,1.08221,0.03263,0.04061,0.69494,0.93191,0.83091,0.80983,0.8567,0.56465,0.86255,0.84139,0.90561,0.90301,1.13864,0.02569,0.00412,0.7753,0.95197,0.0013367,0.0013367,0.0013367
69,710.55,1.09502,0.03259,0.03779,0.69694,0.93027,0.89052,0.75279,0.84294,0.55434,0.89171,0.79355,0.89389,0.89075,1.14138,0.02484,0.00319,0.78809,0.95201,0.0013268,0.0013268,0.0013268
70,720.872,1.10273,0.03368,0.04151,0.71786,0.93713,0.86803,0.76117,0.83317,0.54385,0.88009,0.79609,0.89252,0.88896,1.18466,0.02774,0.00411,0.85105,0.95988,0.0013169,0.0013169,0.0013169
71,731.068,1.08592,0.03237,0.03568,0.6865,0.93153,0.85468,0.76955,0.84967,0.5546,0.84589,0.8203,0.89925,0.89694,1.13521,0.0259,0.00367,0.75728,0.94927,0.001307,0.001307,0.001307
72,741.196,1.09534,0.03426,0.04039,0.70832,0.93605,0.84427,0.78745,0.83708,0.5455,0.86931,0.80825,0.88657,0.88311,1.16353,0.02514,0.00412,0.77221,0.95038,0.0012971,0.0012971,0.0012971
73,751.23,1.10151,0.03167,0.04402,0.70121,0.92599,0.86986,0.76816,0.84189,0.54718,0.87751,0.81042,0.89325,0.89115,1.14351,0.02592,0.00678,0.74697,0.95919,0.0012872,0.0012872,0.0012872
74,761.469,1.09766,0.03397,0.04145,0.70865,0.92615,0.86359,0.76927,0.83886,0.5489,0.88597,0.7933,0.88659,0.88458,1.15373,0.02669,0.00401,0.79632,0.9537,0.0012773,0.0012773,0.0012773
75,771.689,1.05432,0.03066,0.03802,0.67397,0.92543,0.87684,0.75279,0.84002,0.55168,0.87449,0.80447,0.89541,0.89297,1.14729,0.02579,0.00521,0.75485,0.95338,0.0012674,0.0012674,0.0012674
76,781.752,1.0747,0.0318,0.03994,0.69159,0.91897,0.85291,0.77744,0.83899,0.55196,0.8816,0.80075,0.88613,0.88335,1.13718,0.02488,0.00484,0.7807,0.94831,0.0012575,0.0012575,0.0012575
77,791.753,1.07185,0.03035,0.03415,0.69099,0.92001,0.85655,0.77374,0.85041,0.56045,0.88707,0.8118,0.9022,0.89943,1.15397,0.02514,0.00515,0.7436,0.94643,0.0012476,0.0012476,0.0012476
