json_name,image_name,image_width,image_height,num_boxes,num_points,num_matched,num_unmatched_boxes,num_unused_points,num_multi_point_boxes,num_expanded_matches,num_conflict_unmatched
IMG_20251113_163157_tile_r1_c1.json,IMG_20251113_163157_tile_r1_c1.jpg,2048,1536,3,6,3,0,3,0,0,0
IMG_20251113_163159_tile_r0_c0.json,IMG_20251113_163159_tile_r0_c0.jpg,2048,1536,0,3,0,0,3,0,0,0
IMG_20251113_163159_tile_r0_c1.json,IMG_20251113_163159_tile_r0_c1.jpg,2048,1536,3,6,3,0,3,0,0,0
IMG_20251113_163159_tile_r1_c0.json,IMG_20251113_163159_tile_r1_c0.jpg,2048,1536,4,9,4,0,5,0,0,0
IMG_20251113_163159_tile_r1_c1.json,IMG_20251113_163159_tile_r1_c1.jpg,2048,1536,2,9,1,1,8,0,0,0
IMG_20251113_163201_tile_r0_c0.json,IMG_20251113_163201_tile_r0_c0.jpg,2048,1536,2,10,2,0,8,0,0,0
IMG_20251113_163201_tile_r0_c1.json,IMG_20251113_163201_tile_r0_c1.jpg,2048,1536,5,14,4,1,10,0,0,0
IMG_20251113_163201_tile_r1_c0.json,IMG_20251113_163201_tile_r1_c0.jpg,2048,1536,3,17,2,1,15,0,0,0
IMG_20251113_163201_tile_r1_c1.json,IMG_20251113_163201_tile_r1_c1.jpg,2048,1536,3,12,3,0,9,1,0,0
IMG_20251113_163235_tile_r0_c0.json,IMG_20251113_163235_tile_r0_c0.jpg,2048,1536,12,16,11,1,5,2,0,0
IMG_20251113_163235_tile_r0_c1.json,IMG_20251113_163235_tile_r0_c1.jpg,2048,1536,6,8,3,3,5,0,0,0
IMG_20251113_163235_tile_r1_c0.json,IMG_20251113_163235_tile_r1_c0.jpg,2048,1536,7,8,6,1,2,0,0,0
IMG_20251113_163235_tile_r1_c1.json,IMG_20251113_163235_tile_r1_c1.jpg,2048,1536,10,12,7,3,5,3,0,1
IMG_20251113_163242_tile_r0_c0.json,IMG_20251113_163242_tile_r0_c0.jpg,2048,1536,9,11,9,0,2,1,0,0
IMG_20251113_163242_tile_r0_c1.json,IMG_20251113_163242_tile_r0_c1.jpg,2048,1536,10,12,10,0,2,0,0,0
IMG_20251113_163242_tile_r1_c0.json,IMG_20251113_163242_tile_r1_c0.jpg,2048,1536,4,7,4,0,3,0,0,0
IMG_20251113_163242_tile_r1_c1.json,IMG_20251113_163242_tile_r1_c1.jpg,2048,1536,2,6,2,0,4,0,0,0
IMG_20251113_163245_tile_r0_c0.json,IMG_20251113_163245_tile_r0_c0.jpg,2048,1536,3,2,2,1,0,0,0,0
IMG_20251113_163245_tile_r0_c1.json,IMG_20251113_163245_tile_r0_c1.jpg,2048,1536,12,14,10,2,4,0,0,0
IMG_20251113_163245_tile_r1_c0.json,IMG_20251113_163245_tile_r1_c0.jpg,2048,1536,2,1,1,1,0,0,0,0
IMG_20251113_163245_tile_r1_c1.json,IMG_20251113_163245_tile_r1_c1.jpg,2048,1536,10,11,9,1,2,2,0,0
IMG_20251113_163309_tile_r0_c0.json,IMG_20251113_163309_tile_r0_c0.jpg,2048,1536,31,32,26,5,6,7,0,0
IMG_20251113_163309_tile_r0_c1.json,IMG_20251113_163309_tile_r0_c1.jpg,2048,1536,25,32,22,3,10,1,0,0
IMG_20251113_163309_tile_r1_c0.json,IMG_20251113_163309_tile_r1_c0.jpg,2048,1536,24,21,20,4,1,1,0,0
IMG_20251113_163309_tile_r1_c1.json,IMG_20251113_163309_tile_r1_c1.jpg,2048,1536,33,33,31,2,2,3,0,0
IMG_20251113_163312_tile_r0_c0.json,IMG_20251113_163312_tile_r0_c0.jpg,2048,1536,38,32,30,8,2,9,0,0
IMG_20251113_163312_tile_r0_c1.json,IMG_20251113_163312_tile_r0_c1.jpg,2048,1536,35,32,29,6,3,8,0,0
IMG_20251113_163312_tile_r1_c0.json,IMG_20251113_163312_tile_r1_c0.jpg,2048,1536,30,34,28,2,6,11,0,0
IMG_20251113_163312_tile_r1_c1.json,IMG_20251113_163312_tile_r1_c1.jpg,2048,1536,19,20,16,3,4,1,0,0
IMG_20251113_163544_tile_r0_c0.json,IMG_20251113_163544_tile_r0_c0.jpg,2048,1536,1,3,1,0,2,0,0,0
IMG_20251113_163544_tile_r0_c1.json,IMG_20251113_163544_tile_r0_c1.jpg,2048,1536,1,2,1,0,1,0,0,0
IMG_20251113_163544_tile_r1_c0.json,IMG_20251113_163544_tile_r1_c0.jpg,2048,1536,0,5,0,0,5,0,0,0
IMG_20251113_163544_tile_r1_c1.json,IMG_20251113_163544_tile_r1_c1.jpg,2048,1536,0,6,0,0,6,0,0,0
IMG_20251113_163555_tile_r0_c0.json,IMG_20251113_163555_tile_r0_c0.jpg,2048,1536,2,5,2,0,3,0,0,0
IMG_20251113_163555_tile_r0_c1.json,IMG_20251113_163555_tile_r0_c1.jpg,2048,1536,1,2,1,0,1,0,0,0
IMG_20251113_163555_tile_r1_c0.json,IMG_20251113_163555_tile_r1_c0.jpg,2048,1536,1,4,1,0,3,0,0,0
IMG_20251113_163555_tile_r1_c1.json,IMG_20251113_163555_tile_r1_c1.jpg,2048,1536,0,3,0,0,3,0,0,0
IMG_20251113_163618_tile_r0_c0.json,IMG_20251113_163618_tile_r0_c0.jpg,2048,1536,0,7,0,0,7,0,0,0
IMG_20251113_163618_tile_r0_c1.json,IMG_20251113_163618_tile_r0_c1.jpg,2048,1536,0,3,0,0,3,0,0,0
IMG_20251113_163618_tile_r1_c0.json,IMG_20251113_163618_tile_r1_c0.jpg,2048,1536,0,10,0,0,10,0,0,0
IMG_20251113_163618_tile_r1_c1.json,IMG_20251113_163618_tile_r1_c1.jpg,2048,1536,0,7,0,0,7,0,0,0
IMG_20251113_163642_tile_r0_c0.json,IMG_20251113_163642_tile_r0_c0.jpg,2048,1536,0,4,0,0,4,0,0,0
IMG_20251113_163642_tile_r0_c1.json,IMG_20251113_163642_tile_r0_c1.jpg,2048,1536,2,7,2,0,5,0,0,0
IMG_20251113_163642_tile_r1_c0.json,IMG_20251113_163642_tile_r1_c0.jpg,2048,1536,1,1,1,0,0,0,0,0
IMG_20251113_163642_tile_r1_c1.json,IMG_20251113_163642_tile_r1_c1.jpg,2048,1536,2,3,2,0,1,0,0,0
IMG_20251113_163643_tile_r0_c0.json,IMG_20251113_163643_tile_r0_c0.jpg,2048,1536,2,6,2,0,4,0,0,0
IMG_20251113_163643_tile_r0_c1.json,IMG_20251113_163643_tile_r0_c1.jpg,2048,1536,3,6,1,2,5,0,0,0
IMG_20251113_163643_tile_r1_c0.json,IMG_20251113_163643_tile_r1_c0.jpg,2048,1536,1,1,1,0,0,0,0,0
IMG_20251113_163643_tile_r1_c1.json,IMG_20251113_163643_tile_r1_c1.jpg,2048,1536,4,5,2,2,3,0,0,0
IMG_20251113_163658_tile_r0_c0.json,IMG_20251113_163658_tile_r0_c0.jpg,2048,1536,2,3,2,0,1,0,0,0
