epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,1149.13,1.30112,0.03993,0.04526,1.02218,1.2417,0.7729,0.73883,0.77681,0.46692,0.80636,0.7919,0.84165,0.83957,1.29671,0.02997,0.0031,0.99143,1.23699,0.0012674,0.0012674,0.0012674
76,1164.95,1.29573,0.04034,0.0467,1.00906,1.22229,0.80502,0.75419,0.81774,0.49579,0.82053,0.81095,0.8696,0.86848,1.24481,0.02755,0.00487,0.93273,1.21247,0.0012575,0.0012575,0.0012575
77,1179.76,1.28357,0.03691,0.04097,1.00726,1.2233,0.80701,0.73743,0.79285,0.47402,0.83163,0.77654,0.85293,0.85068,1.29733,0.02795,0.00368,1.00429,1.23659,0.0012476,0.0012476,0.0012476
78,1194.67,1.27996,0.04029,0.04364,0.99694,1.22299,0.82987,0.7081,0.79589,0.48233,0.82381,0.78073,0.84884,0.84774,1.26879,0.02867,0.00351,0.95607,1.22052,0.0012377,0.0012377,0.0012377
79,1209.57,1.3021,0.04081,0.05025,1.01363,1.23372,0.81328,0.72998,0.80233,0.49306,0.84931,0.77235,0.86199,0.8603,1.26574,0.02854,0.00469,0.9535,1.2179,0.0012278,0.0012278,0.0012278
80,1224.47,1.29609,0.0402,0.04539,0.98802,1.22385,0.79753,0.76117,0.81316,0.49265,0.81355,0.81663,0.86386,0.86224,1.23999,0.02571,0.00596,0.95051,1.20977,0.0012179,0.0012179,0.0012179
81,1239.3,1.29404,0.04265,0.04386,1.00118,1.21339,0.80287,0.75838,0.80234,0.48528,0.83418,0.7905,0.8634,0.86159,1.25809,0.02795,0.00393,0.93194,1.22176,0.001208,0.001208,0.001208
82,1254.21,1.29303,0.03922,0.04134,0.99836,1.22007,0.80284,0.75638,0.8037,0.48825,0.84138,0.7927,0.86122,0.85937,1.2665,0.02711,0.00349,0.97501,1.20946,0.0011981,0.0011981,0.0011981
83,1269.17,1.29398,0.03833,0.04313,0.99499,1.2323,0.81732,0.73743,0.80091,0.49454,0.82779,0.79749,0.86896,0.86775,1.24422,0.02636,0.0028,0.96612,1.20904,0.0011882,0.0011882,0.0011882
84,1284.12,1.28969,0.03996,0.04486,0.9996,1.2084,0.82126,0.75,0.81816,0.49471,0.80873,0.82673,0.87424,0.87238,1.23813,0.02621,0.00449,0.9504,1.21231,0.0011783,0.0011783,0.0011783
85,1299.05,1.28078,0.03816,0.04297,0.98981,1.23757,0.79794,0.77374,0.81713,0.50815,0.82712,0.80726,0.8702,0.86885,1.22174,0.02709,0.00348,0.94246,1.19427,0.0011684,0.0011684,0.0011684
86,1313.94,1.28497,0.04143,0.05161,0.99498,1.22868,0.82029,0.71788,0.81226,0.49735,0.80324,0.8039,0.86922,0.86794,1.25014,0.02718,0.00315,0.97519,1.20361,0.0011585,0.0011585,0.0011585
87,1328.85,1.27738,0.03691,0.04432,0.96571,1.21324,0.80592,0.76676,0.81014,0.50141,0.83502,0.82,0.87301,0.87156,1.24235,0.02727,0.00468,0.95843,1.20559,0.0011486,0.0011486,0.0011486
88,1343.74,1.25316,0.03914,0.04386,0.97312,1.2,0.80878,0.75,0.80955,0.4953,0.83999,0.79915,0.87189,0.86937,1.23831,0.02621,0.00379,0.95456,1.20499,0.0011387,0.0011387,0.0011387
89,1359,1.25969,0.0374,0.04206,0.96992,1.2143,0.77459,0.77654,0.81337,0.51258,0.80529,0.82601,0.87155,0.87024,1.22583,0.02563,0.00378,0.93757,1.19065,0.0011288,0.0011288,0.0011288
90,1373.89,1.26669,0.03796,0.04344,0.97058,1.23131,0.79728,0.77654,0.81719,0.50512,0.82296,0.82682,0.87653,0.87501,1.23066,0.0255,0.00444,0.89942,1.20023,0.0011189,0.0011189,0.0011189
91,1388.64,1.24666,0.03639,0.04629,0.96248,1.19275,0.78147,0.76536,0.80711,0.49897,0.81499,0.8121,0.86697,0.8653,1.25158,0.02479,0.00291,0.91177,1.21782,0.001109,0.001109,0.001109
92,1403.58,1.25838,0.03736,0.04333,0.97678,1.20765,0.78195,0.77514,0.79949,0.4958,0.81249,0.81285,0.85599,0.85412,1.2472,0.02706,0.0041,0.98967,1.19944,0.0010991,0.0010991,0.0010991
93,1418.49,1.27194,0.03745,0.04259,0.97213,1.21822,0.79951,0.76536,0.80858,0.49894,0.83333,0.80303,0.86416,0.86209,1.24905,0.02603,0.00375,0.95204,1.20976,0.0010892,0.0010892,0.0010892
94,1433.27,1.25292,0.03656,0.03973,0.95366,1.19675,0.81076,0.76536,0.82247,0.51521,0.83648,0.8216,0.87982,0.8784,1.22626,0.02713,0.00425,0.88618,1.19805,0.0010793,0.0010793,0.0010793
95,1448.05,1.247,0.03488,0.04522,0.96467,1.20145,0.81031,0.76955,0.82919,0.51871,0.83869,0.81329,0.88379,0.88235,1.2107,0.02538,0.00464,0.91573,1.19602,0.0010694,0.0010694,0.0010694
96,1462.93,1.22763,0.0355,0.0397,0.94477,1.18596,0.80646,0.76819,0.80865,0.51001,0.8339,0.81145,0.86677,0.86483,1.22176,0.02669,0.00449,0.9021,1.2028,0.0010595,0.0010595,0.0010595
97,1477.7,1.245,0.03657,0.04419,0.94798,1.1946,0.8006,0.74583,0.80722,0.4939,0.83987,0.78381,0.86392,0.86267,1.27157,0.0283,0.00416,0.93541,1.22162,0.0010496,0.0010496,0.0010496
98,1492.48,1.23929,0.03518,0.04392,0.93366,1.17359,0.79958,0.78073,0.81956,0.50966,0.84196,0.81564,0.87659,0.87386,1.23298,0.02617,0.00389,0.91384,1.21184,0.0010397,0.0010397,0.0010397
99,1507.38,1.24876,0.03727,0.04319,0.95316,1.20397,0.78914,0.75978,0.80486,0.50039,0.81562,0.80447,0.85658,0.85496,1.21985,0.02627,0.00751,0.93054,1.19068,0.0010298,0.0010298,0.0010298
100,1522.1,1.25795,0.03677,0.04452,0.94962,1.20781,0.79588,0.77514,0.81761,0.51001,0.84419,0.81425,0.87475,0.87341,1.23347,0.02614,0.00419,0.9302,1.20047,0.0010199,0.0010199,0.0010199
101,1536.91,1.24623,0.03364,0.04449,0.9454,1.1936,0.82109,0.77514,0.82403,0.51864,0.83731,0.82821,0.8808,0.87931,1.22547,0.0255,0.00352,0.88001,1.1982,0.00101,0.00101,0.00101
102,1551.82,1.23795,0.03738,0.0421,0.93388,1.19471,0.82104,0.78813,0.82898,0.50668,0.84875,0.81564,0.87544,0.87367,1.21757,0.02684,0.00444,0.92999,1.19677,0.0010001,0.0010001,0.0010001
103,1566.6,1.22794,0.03385,0.04241,0.9356,1.19791,0.81042,0.77374,0.8202,0.51553,0.84542,0.80967,0.87983,0.87809,1.20618,0.02545,0.00411,0.90659,1.18263,0.0009902,0.0009902,0.0009902
104,1581.35,1.21903,0.0367,0.04055,0.92051,1.17832,0.8207,0.76257,0.81726,0.5127,0.84203,0.81145,0.88068,0.87956,1.20656,0.02554,0.00514,0.8906,1.18777,0.0009803,0.0009803,0.0009803
105,1596.43,1.21988,0.0363,0.03981,0.92609,1.18069,0.81979,0.78145,0.82699,0.51883,0.84859,0.81145,0.88008,0.87854,1.18904,0.02585,0.00387,0.88166,1.18429,0.0009704,0.0009704,0.0009704
106,1611.34,1.23056,0.03774,0.04796,0.92918,1.17448,0.79269,0.79036,0.82781,0.51783,0.8249,0.82248,0.87812,0.87641,1.22609,0.02577,0.00446,0.9144,1.19203,0.0009605,0.0009605,0.0009605
107,1626.07,1.20139,0.03399,0.03948,0.9105,1.1545,0.81343,0.76723,0.82642,0.50619,0.84386,0.80008,0.87797,0.87647,1.24486,0.02521,0.0048,0.87979,1.21012,0.0009506,0.0009506,0.0009506
108,1640.9,1.21811,0.03521,0.04082,0.90689,1.18693,0.81678,0.78448,0.83365,0.52832,0.84601,0.81335,0.88371,0.88206,1.19498,0.02541,0.00453,0.88236,1.1812,0.0009407,0.0009407,0.0009407
109,1655.74,1.22765,0.03581,0.04508,0.91746,1.18163,0.81027,0.77541,0.82755,0.51577,0.83812,0.8171,0.87937,0.87822,1.22312,0.02644,0.00358,0.892,1.19372,0.0009308,0.0009308,0.0009308
110,1670.65,1.20918,0.03379,0.03752,0.90813,1.17542,0.82776,0.75838,0.83415,0.5234,0.86036,0.79888,0.88904,0.88783,1.2116,0.02449,0.0037,0.88397,1.19145,0.0009209,0.0009209,0.0009209
111,1685.41,1.20961,0.03384,0.03936,0.90916,1.17006,0.82313,0.76816,0.83133,0.5235,0.86011,0.80307,0.88762,0.88595,1.19823,0.02504,0.00269,0.90237,1.18232,0.000911,0.000911,0.000911
112,1700.33,1.22393,0.03481,0.04545,0.90422,1.18793,0.81725,0.77446,0.82998,0.52138,0.84638,0.80795,0.88173,0.87964,1.21533,0.02542,0.00324,0.88876,1.18531,0.0009011,0.0009011,0.0009011
113,1715.06,1.22224,0.03479,0.04493,0.90863,1.17386,0.8619,0.72207,0.81683,0.50974,0.84943,0.78002,0.86867,0.86728,1.22793,0.02702,0.00482,0.91513,1.19675,0.0008912,0.0008912,0.0008912
114,1729.88,1.22026,0.03511,0.03917,0.91423,1.17875,0.81197,0.77793,0.8272,0.52429,0.84328,0.81285,0.88117,0.87977,1.20645,0.02515,0.00348,0.87783,1.19425,0.0008813,0.0008813,0.0008813
115,1744.76,1.21346,0.03439,0.03878,0.91349,1.17667,0.80474,0.77514,0.82022,0.51638,0.82537,0.82821,0.87732,0.87578,1.23712,0.02558,0.0039,0.93749,1.19248,0.0008714,0.0008714,0.0008714
116,1759.61,1.2028,0.03518,0.03493,0.90208,1.16107,0.85134,0.76257,0.84076,0.53223,0.87488,0.79105,0.89211,0.8903,1.19202,0.02467,0.0043,0.8565,1.17536,0.0008615,0.0008615,0.0008615
