epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,900.827,1.40137,0.04821,0.05683,0.94367,1.10003,0.76545,0.72471,0.76507,0.44852,0.79099,0.76955,0.83084,0.82801,1.33216,0.03498,0.0023,0.91589,1.06347,0.0012872,0.0012872,0.0012872
74,913.386,1.40409,0.05001,0.05291,0.94695,1.11302,0.84129,0.7067,0.7861,0.46458,0.84259,0.74581,0.84308,0.84157,1.29542,0.03179,0.00188,0.88245,1.05984,0.0012773,0.0012773,0.0012773
75,925.897,1.40448,0.04783,0.04641,0.94405,1.11912,0.82183,0.70391,0.79088,0.46102,0.85022,0.73464,0.84588,0.84476,1.32297,0.03361,0.00179,0.88212,1.05949,0.0012674,0.0012674,0.0012674
76,938.544,1.41194,0.04898,0.05321,0.93896,1.09753,0.8048,0.71927,0.78923,0.47546,0.82917,0.76397,0.84685,0.84583,1.30588,0.03441,0.00319,0.84689,1.05902,0.0012575,0.0012575,0.0012575
77,951.844,1.37719,0.04454,0.04664,0.93082,1.09145,0.84267,0.68822,0.77339,0.45832,0.83985,0.75279,0.84296,0.84114,1.31945,0.03486,0.00239,0.8856,1.06321,0.0012476,0.0012476,0.0012476
78,964.912,1.37541,0.04858,0.04564,0.92327,1.09747,0.82393,0.68715,0.77631,0.45882,0.8246,0.74022,0.83888,0.83703,1.313,0.03425,0.00187,0.85902,1.05074,0.0012377,0.0012377,0.0012377
79,977.554,1.39246,0.05092,0.05636,0.94177,1.09625,0.78221,0.69832,0.76005,0.44681,0.80454,0.75309,0.82558,0.82326,1.34882,0.03418,0.00362,0.95831,1.0567,0.0012278,0.0012278,0.0012278
80,990.261,1.37781,0.05175,0.04732,0.90729,1.08875,0.79301,0.72237,0.77719,0.46548,0.80376,0.77793,0.83796,0.83619,1.30902,0.03279,0.0016,0.8993,1.06228,0.0012179,0.0012179,0.0012179
81,1002.68,1.37281,0.05066,0.05005,0.92508,1.0836,0.83496,0.6995,0.78628,0.47084,0.82605,0.77597,0.84941,0.84829,1.32951,0.03121,0.00216,0.86042,1.05969,0.001208,0.001208,0.001208
82,1015.25,1.37059,0.04716,0.04736,0.93007,1.08998,0.82923,0.71887,0.79,0.4731,0.85925,0.75029,0.85069,0.84934,1.30546,0.0347,0.00164,0.92373,1.05875,0.0011981,0.0011981,0.0011981
83,1027.78,1.37835,0.04826,0.04838,0.92946,1.10079,0.79381,0.73324,0.78223,0.47043,0.83794,0.76547,0.85538,0.85406,1.3295,0.03196,0.00129,0.86856,1.05701,0.0011882,0.0011882,0.0011882
84,1040.25,1.38354,0.05099,0.05263,0.91851,1.07834,0.81157,0.73388,0.79377,0.47166,0.84356,0.77095,0.85713,0.85609,1.32425,0.03227,0.00281,0.89031,1.06035,0.0011783,0.0011783,0.0011783
85,1052.65,1.37216,0.04595,0.0512,0.92244,1.10691,0.83933,0.70772,0.79275,0.48152,0.87601,0.74022,0.85569,0.85411,1.31069,0.03466,0.00256,0.8761,1.05582,0.0011684,0.0011684,0.0011684
86,1065.26,1.35562,0.04905,0.05246,0.90634,1.09048,0.81335,0.71788,0.78906,0.47452,0.85339,0.75559,0.84971,0.84821,1.30874,0.03318,0.00218,0.88702,1.05397,0.0011585,0.0011585,0.0011585
87,1077.68,1.3616,0.04537,0.05085,0.89679,1.08897,0.8082,0.72905,0.79704,0.47526,0.85017,0.76874,0.85672,0.85449,1.31891,0.03236,0.00332,0.85314,1.04857,0.0011486,0.0011486,0.0011486
88,1090.04,1.34917,0.04671,0.04699,0.89863,1.08341,0.81374,0.73222,0.79819,0.48033,0.84282,0.77374,0.85522,0.85394,1.29641,0.03212,0.00207,0.8567,1.04594,0.0011387,0.0011387,0.0011387
89,1102.4,1.32588,0.04506,0.04544,0.89094,1.08424,0.81109,0.73603,0.80215,0.48434,0.82931,0.78036,0.86064,0.85971,1.30532,0.0296,0.00171,0.83731,1.05536,0.0011288,0.0011288,0.0011288
90,1114.91,1.34679,0.04482,0.04662,0.90928,1.09954,0.8318,0.70391,0.77961,0.46741,0.84683,0.75279,0.84378,0.84205,1.32375,0.03166,0.0023,0.93028,1.05267,0.0011189,0.0011189,0.0011189
91,1127.48,1.33326,0.04441,0.04947,0.89479,1.06726,0.81163,0.72765,0.78697,0.47255,0.82959,0.77514,0.8526,0.85128,1.31931,0.031,0.00168,0.83969,1.06209,0.001109,0.001109,0.001109
92,1140.25,1.34039,0.04493,0.04696,0.89661,1.08041,0.79713,0.71648,0.77694,0.45766,0.83438,0.75286,0.83861,0.83708,1.37179,0.03267,0.00161,0.9187,1.06001,0.0010991,0.0010991,0.0010991
93,1152.81,1.33669,0.04419,0.04847,0.89506,1.08591,0.81206,0.71209,0.78642,0.47198,0.82489,0.77235,0.8532,0.85174,1.33464,0.031,0.00296,0.85969,1.05659,0.0010892,0.0010892,0.0010892
94,1165.34,1.32202,0.04479,0.0424,0.87921,1.06706,0.81203,0.71196,0.78935,0.47092,0.81899,0.77514,0.85239,0.85052,1.32093,0.03233,0.00202,0.86662,1.05273,0.0010793,0.0010793,0.0010793
95,1177.8,1.31905,0.04211,0.04679,0.87541,1.0733,0.80906,0.73883,0.78753,0.47727,0.82883,0.77773,0.85474,0.85338,1.28448,0.0305,0.00194,0.83751,1.04128,0.0010694,0.0010694,0.0010694
96,1190.24,1.32317,0.04394,0.04553,0.87303,1.06475,0.8207,0.72905,0.79482,0.48152,0.83026,0.77195,0.85469,0.85315,1.29117,0.03346,0.00166,0.83973,1.04939,0.0010595,0.0010595,0.0010595
97,1203.39,1.33083,0.04422,0.05072,0.88532,1.06564,0.81315,0.71115,0.7904,0.47191,0.84475,0.75559,0.8565,0.85506,1.32685,0.03109,0.00235,0.89021,1.05617,0.0010496,0.0010496,0.0010496
98,1216.06,1.30946,0.04173,0.04804,0.86271,1.05167,0.80826,0.72626,0.79036,0.47854,0.85185,0.76288,0.85455,0.85267,1.29828,0.03031,0.00309,0.86243,1.05117,0.0010397,0.0010397,0.0010397
99,1228.69,1.31504,0.04528,0.04886,0.886,1.06452,0.83367,0.72067,0.79797,0.48227,0.85175,0.75698,0.85612,0.85436,1.28845,0.02999,0.00242,0.85479,1.04564,0.0010298,0.0010298,0.0010298
100,1241.26,1.30987,0.04296,0.05043,0.86913,1.06799,0.85136,0.71508,0.80058,0.48481,0.85921,0.76955,0.85947,0.85876,1.29533,0.03046,0.00155,0.81997,1.05286,0.0010199,0.0010199,0.0010199
101,1253.71,1.29522,0.0409,0.04946,0.85736,1.056,0.83298,0.72905,0.80486,0.4839,0.85833,0.75978,0.86354,0.8626,1.28207,0.03025,0.00183,0.8284,1.04429,0.00101,0.00101,0.00101
102,1266.17,1.29909,0.04156,0.04871,0.86083,1.06066,0.83196,0.72346,0.7966,0.48267,0.85446,0.78717,0.86918,0.86741,1.27741,0.02956,0.00177,0.83152,1.05478,0.0010001,0.0010001,0.0010001
103,1278.52,1.30855,0.04052,0.04822,0.86879,1.07484,0.84415,0.72765,0.8087,0.48916,0.85666,0.7679,0.86161,0.8607,1.28988,0.02861,0.00177,0.81939,1.04884,0.0009902,0.0009902,0.0009902
104,1290.96,1.27585,0.04306,0.04487,0.8575,1.05357,0.82171,0.75,0.80586,0.48167,0.84985,0.78073,0.86159,0.85995,1.29882,0.02929,0.00286,0.83409,1.05148,0.0009803,0.0009803,0.0009803
105,1303.55,1.28014,0.04127,0.04266,0.8482,1.05,0.83128,0.74441,0.81461,0.49155,0.8605,0.77374,0.86923,0.86773,1.29039,0.03077,0.00219,0.8268,1.04438,0.0009704,0.0009704,0.0009704
106,1315.76,1.29437,0.04475,0.05002,0.84687,1.03914,0.81405,0.72905,0.79486,0.49272,0.85485,0.78073,0.86314,0.86204,1.2744,0.03039,0.0025,0.82292,1.0498,0.0009605,0.0009605,0.0009605
107,1328.15,1.27268,0.04193,0.0413,0.82626,1.02277,0.80464,0.75559,0.80381,0.48426,0.83554,0.79471,0.86261,0.86172,1.30773,0.02927,0.00211,0.80148,1.05864,0.0009506,0.0009506,0.0009506
108,1340.6,1.27828,0.04186,0.04302,0.84201,1.05454,0.8205,0.7514,0.81246,0.49513,0.83833,0.78492,0.86592,0.86461,1.28736,0.02937,0.00189,0.80551,1.04341,0.0009407,0.0009407,0.0009407
109,1353.23,1.29873,0.04439,0.0492,0.84729,1.05449,0.8015,0.75,0.80111,0.48474,0.8483,0.78103,0.86324,0.86233,1.28672,0.02909,0.00193,0.81573,1.04573,0.0009308,0.0009308,0.0009308
