epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,1286.81,1.07523,0.03275,0.03762,0.68411,0.9183,0.8668,0.77654,0.85137,0.5684,0.89462,0.80726,0.90247,0.90089,1.14994,0.02359,0.00277,0.75194,0.94909,0.0011387,0.0011387,0.0011387
89,1299.33,1.07456,0.02981,0.03464,0.70002,0.92295,0.86059,0.77592,0.84394,0.56532,0.8879,0.80028,0.89691,0.89487,1.15095,0.0238,0.00455,0.73707,0.94472,0.0011288,0.0011288,0.0011288
90,1311.12,1.03484,0.0301,0.03529,0.67512,0.91911,0.85076,0.79749,0.85431,0.57161,0.8746,0.81983,0.89966,0.89868,1.13579,0.02439,0.00342,0.7219,0.93824,0.0011189,0.0011189,0.0011189
91,1325,1.0653,0.03051,0.03649,0.69109,0.90634,0.84835,0.80726,0.85785,0.56533,0.87231,0.84218,0.90841,0.90589,1.15936,0.02462,0.0034,0.71968,0.94211,0.001109,0.001109,0.001109
92,1339.88,1.06051,0.0289,0.03084,0.67892,0.91076,0.84415,0.79469,0.84525,0.5588,0.87725,0.81845,0.89576,0.89407,1.18349,0.02343,0.00311,0.80966,0.94964,0.0010991,0.0010991,0.0010991
93,1354.38,1.05851,0.02883,0.03507,0.67735,0.91744,0.85354,0.77324,0.84799,0.55558,0.88133,0.81006,0.89875,0.89708,1.18542,0.02399,0.00318,0.90508,0.93949,0.0010892,0.0010892,0.0010892
94,1366.45,1.05396,0.02923,0.02893,0.6765,0.90389,0.85406,0.81006,0.86432,0.57851,0.89612,0.83136,0.90666,0.90536,1.15226,0.02374,0.00347,0.75194,0.94329,0.0010793,0.0010793,0.0010793
95,1378.54,1.0447,0.0269,0.03484,0.67764,0.91167,0.84905,0.80128,0.85478,0.57094,0.8735,0.83939,0.90358,0.90258,1.14244,0.023,0.00227,0.76675,0.93649,0.0010694,0.0010694,0.0010694
96,1390.78,1.0437,0.02845,0.03236,0.66028,0.90347,0.83669,0.79888,0.86431,0.57708,0.8495,0.83659,0.9006,0.89971,1.13747,0.0227,0.00221,0.71608,0.93942,0.0010595,0.0010595,0.0010595
97,1402.86,1.05038,0.03055,0.03803,0.67665,0.90946,0.856,0.7905,0.84751,0.57041,0.88539,0.82,0.89699,0.89482,1.13638,0.0236,0.00343,0.77091,0.9393,0.0010496,0.0010496,0.0010496
98,1414.84,1.05018,0.0275,0.03354,0.67126,0.90106,0.84997,0.81285,0.86237,0.5734,0.87188,0.8338,0.90512,0.90349,1.13611,0.02234,0.00289,0.74172,0.93415,0.0010397,0.0010397,0.0010397
